"Broker";"DSTStartMonth";"DSTStartNth";"DSTStartDay";"DSTStartTime";"DSTEndMonth";"DSTEndNth";"DSTEndDay";"DSTEndTime";"GMTOffsetStd";"GMTOffsetDST";"WeekStartDay";"WeekStartHour";"WeekEndDay";"WeekEndHour"
"Local";3;0;0;"00:00";10;0;0;"00:00";-8;-8;1;"00:00";5;"22:00"
"UTC";0;0;0;"00:00";0;0;0;"00:00";0;0;1;"00:00";6;"00:00"
"Alpari (UK) Historic Data";3;0;0;"02:00";10;0;0;"03:00";1;2;1;"00:00";6;"00:00"
"Forex Historical Data";0;0;0;"00:00";0;0;0;"00:00";1;1;1;"00:00";6;"00:00"
"Alpari (UK) Ltd.";3;0;0;"03:00";10;0;0;"04:00";2;3;1;"00:00";5;"22:00"
"Alpari (US), LLC.";3;0;0;"03:00";10;0;0;"04:00";2;3;1;"00:00";5;"22:00"
"Alpari NZ Limited";3;0;0;"03:00";10;0;0;"04:00";2;3;1;"00:00";5;"22:00"
"Go Markets Pty Ltd";0;0;0;"00:00";0;0;0;"00:00";3;3;1;"00:00";5;"22:00"
"MIG Bank";3;0;0;"02:00";10;0;0;"03:00";1;2;0;"23:00";5;"22:00"
"Forex Capital Markets, LLC";0;0;0;"00:00";0;0;0;"00:00";0;0;0;"21:00";5;"21:00"
"IBFX Australia Pty Ltd";0;0;0;"00:00";0;0;0;"00:00";0;0;0;"23:00";5;"20:00"
"IBFX, Inc.";0;0;0;"00:00";0;0;0;"00:00";0;0;0;"23:00";5;"20:00"
"ATC BROKERS";3;2;0;"09:00";11;1;0;"09:00";2;3;1;"00:00";5;"22:00"
"FXDirectDealer";3;0;0;"02:00";10;0;0;"0:00";3;3;0;"00:00";5;"22:00"
"OANDA Corporation";3;0;0;"02:00";10;0;0;"00:00";-5;-4;0;"14:00";5;"18:00"
"MB Trading Futures, Inc.";3;0;0;"00:00";10;0;0;"00:00";-5;-4;0;"17:00";5;"16:00"
"FOREX.com";0;0;0;"0:00";0;0;0;"0:00";0;0;0;"22:00";5;"21:00"
"Activtrades Plc";3;0;0;"02:00";10;0;0;"03:00";1;2;0;"23:00";5;"23:00"
"AFX Capital Markets LTD";3;0;0;"02:00";10;0;0;"03:00";1;2;0;"23:00";5;"23:00"
"Pepperstone Financial Pty Ltd";3;2;0;"09:00";11;1;0;"09:00";2;3;1;"00:00";5;"23:00"
"MFX Broker Inc.";0;0;0;"00:00";0;0;0;"00:00";3;3;1;"00:00";5;"22:00"
"InstaForex Companies Group";0;0;0;"00:00";0;0;0;"00:00";3;3;1;"00:00";5;"23:00"
"LiteForex Group of Companies";0;0;0;"00:00";0;0;0;"00:00";3;3;1;"00:00";5;"23:00"
"FX Clearing Group, Inc.";3;0;0;"00:00";0;0;0;"00:00";2;3;1;"00:00";5;"23:00"
"FXOpen Investments Inc.";3;2;0;"00:00";10;2;0;"00:00";2;3;1;"00:00";5;"22:00"
"HF Markets Ltd";3;0;0;"02:00";10;0;0;"03:00";2;3;1;"00:00";5;"22:00"
"FXPRO Financial Services Ltd";3;0;0;"02:00";10;0;0;"03:00";2;3;1;"00:00";5;"23:00"
"FXPRIMUS Ltd.";3;0;0;"02:00";11;1;0;"3:00";2;3;0;"22:00";5;"22:00"
"E-Global Trade & Finance Group, Inc.";3;0;0;"02:00";10;0;0;"03:00";1;2;1;"00:00";5;"23:00"
"The Collective FX LLC";0;0;0;"0:00";0;0;0;"0:00";1;1;0;"23:00";5;"22:00"
"FinFx Trading Oy";3;0;0;"02:00";10;0;0;"03:00";2;3;1;"00:00";5;"23:00"